neighbourhood,room_type,minimum_nights,calculated_host_listings_count,availability_365,price
12,1,7,1,43,160
4,1,30,103,219,76
11,0,1,2,0,110
13,1,6,1,188,135
6,1,1,1,0,139
36,0,3,1,271,120
6,1,3,1,0,199
12,1,2,1,0,200
6,0,1,15,334,55
6,0,7,1,0,49
12,0,2,1,58,79
15,0,3,2,0,60
12,0,2,2,64,89
20,1,2,1,229,225
5,1,30,8,342,300
8,1,30,232,218,244
49,0,1,1,0,60
28,1,3,1,0,108
71,1,5,1,0,375
56,1,3,1,0,89
30,1,7,1,0,125
4,0,2,4,12,75
4,1,2,2,12,280
8,1,3,3,0,200
56,1,7,1,3,150
21,0,2,3,282,65
8,2,1,1,0,40
1,1,2,1,0,429
33,1,4,1,0,180
11,1,6,4,313,1100
12,0,2,5,193,95
12,1,3,1,0,160
121,0,1,2,301,43
6,1,5,1,0,85
70,0,3,8,361,62
7,0,2,1,0,66
1,1,4,2,242,239
68,1,2,1,19,199
113,0,4,1,0,100
20,0,3,1,0,75
6,0,30,27,346,42
182,0,3,2,361,30
21,1,3,1,0,95
8,0,3,1,0,40
15,0,3,1,0,140
63,1,4,1,3,325
23,1,3,1,28,139
6,0,5,2,71,90
16,1,4,3,68,295
23,1,1,1,143,59
126,0,1,3,73,50
12,1,1,1,365,250
45,1,2,1,0,95
12,1,7,1,5,250
2,1,3,1,0,249
17,1,2,1,135,175
44,0,30,9,7,38
4,1,3,1,85,174
6,1,2,1,231,139
13,1,7,2,173,500
49,1,3,1,299,110
3,0,2,1,0,88
6,1,2,1,174,97
22,0,1,2,98,45
13,0,2,2,0,65
28,1,2,2,306,250
6,0,1,3,293,60
41,0,2,2,356,85
30,2,1,1,363,42
25,1,2,1,54,320
6,0,1,5,134,30
28,1,6,1,5,200
45,0,31,1,1,45
6,1,2,1,0,76
43,1,30,6,222,196
87,1,1,2,74,40
8,0,2,1,333,85
37,0,1,4,355,75
12,1,3,1,0,175
6,1,4,1,248,112
39,0,6,1,128,49
41,0,3,2,128,75
7,2,1,8,199,65
43,0,3,1,0,150
23,0,1,3,0,85
20,1,2,1,0,110
14,1,27,1,310,175
2,0,4,3,0,123
1,1,2,13,268,672
6,1,7,1,0,125
1,1,30,1,303,650
28,1,7,1,203,120
21,0,2,2,301,70
21,0,30,1,0,70
52,1,2,1,205,200
39,0,2,2,51,68
20,0,3,3,0,65
12,0,2,2,274,45
46,1,1,2,304,80
7,1,3,1,0,195
77,1,7,1,178,1000
8,1,30,25,286,225
44,0,1,7,47,60
38,1,2,1,0,180
6,2,30,1,0,32
68,1,5,1,282,700
6,2,30,2,339,19
26,0,1,1,0,76
20,1,1,2,0,200
178,1,1,1,356,50
12,0,1,1,0,95
3,0,3,1,189,45
15,0,5,2,38,43
7,1,4,1,126,700
6,0,1,1,0,35
6,1,1,1,89,350
113,0,2,1,0,85
38,1,1,1,0,108
26,1,2,1,0,144
6,1,180,1,1,85
31,1,1,1,332,87
73,1,3,3,360,250
52,1,3,2,0,150
7,1,7,1,0,70
44,0,30,1,44,35
8,0,10,1,248,89
1,1,3,1,365,246
3,0,2,1,333,54
24,1,3,1,132,130
2,1,3,1,17,270
8,1,30,1,31,220
90,0,1,2,0,29
21,0,2,1,0,45
54,0,1,8,189,90
54,0,3,5,365,70
27,0,1,7,331,100
23,1,2,1,8,375
44,0,30,23,322,34
56,1,1,1,0,125
7,2,1,8,206,65
43,0,2,1,0,80
15,1,1,2,274,200
3,1,7,1,189,130
14,1,2,1,104,350
11,0,3,1,34,150
6,0,20,1,0,60
28,0,3,2,275,100
1,0,3,3,0,500
14,1,30,232,218,287
2,0,4,8,42,45
49,1,28,1,313,75
12,2,15,1,83,60
142,0,2,1,364,125
1,0,2,1,0,150
12,1,1,1,0,180
6,1,3,4,308,80
54,1,1,1,0,57
26,1,4,1,157,475
23,1,2,1,0,130
6,1,2,2,7,195
81,0,3,2,41,65
21,1,2,1,235,129
4,1,3,1,71,90
8,0,1,3,6,110
124,1,3,1,162,150
3,1,2,1,0,185
56,1,3,1,254,140
56,1,2,1,0,99
43,0,1,1,0,80
6,0,2,1,0,50
1,0,12,1,49,78
52,1,1,1,0,99
28,1,1,2,351,121
6,0,2,1,0,35
19,1,2,1,0,300
14,1,2,1,230,200
39,0,2,1,306,70
32,1,7,1,225,250
6,0,1,1,0,80
25,1,1,2,95,129
6,0,2,34,330,55
31,0,1,3,344,75
1,0,1,5,287,100
6,0,1,1,179,450
15,1,3,1,343,165
12,0,1,1,13,64
46,0,1,2,363,159
8,1,1,1,0,150
2,1,2,1,0,110
2,0,2,1,0,75
6,1,2,2,144,175
2,1,3,1,37,175
12,0,10,3,0,40
8,0,3,1,344,80
37,1,3,1,365,688
28,1,4,2,290,219
83,1,3,1,0,150
19,0,2,1,41,113
12,0,2,1,0,60
23,1,2,1,38,200
6,1,3,1,89,100
13,0,3,2,305,130
56,1,4,2,89,450
12,0,4,1,0,85
36,1,30,1,105,289
39,0,4,1,69,55
19,1,3,1,7,117
4,0,3,1,46,79
56,0,4,1,96,60
56,1,1,1,0,165
21,0,2,2,0,55
12,0,1,1,188,89
26,1,4,1,122,295
25,1,3,1,353,250
20,1,4,1,30,118
1,1,4,1,358,319
20,1,2,2,0,120
28,0,25,1,110,150
21,1,2,1,4,98
20,1,1,1,188,229
39,2,1,3,140,30
21,0,3,1,0,60
23,1,2,1,239,255
2,1,3,1,0,120
85,1,3,1,3,47
79,0,31,1,0,50
23,0,2,1,0,89
28,0,2,1,38,115
28,1,30,29,209,120
14,1,4,1,0,159
42,1,2,1,248,103
18,1,26,1,58,90
30,0,1,1,0,100
7,1,30,52,323,110
9,1,4,1,299,499
81,0,29,5,1,40
126,0,1,1,156,40
12,0,5,1,0,35
26,0,1,1,0,69
4,0,1,1,0,50
17,0,1,7,260,62
2,0,4,1,188,65
24,0,4,3,43,69
28,1,7,1,32,150
28,0,3,1,28,80
24,0,1,1,97,89
15,1,3,3,219,475
28,1,1,1,25,125
24,0,1,2,40,60
25,0,2,1,0,60
30,1,5,1,0,95
67,0,1,2,335,72
2,0,2,6,365,220
15,0,5,1,0,60
35,0,2,1,292,30
4,0,2,3,10,70
21,1,6,1,63,70
39,1,2,1,0,140
23,1,3,2,166,250
53,0,1,2,9,90
21,0,3,1,0,80
2,1,31,2,184,135
12,0,3,1,311,75
28,1,1,1,359,249
8,1,3,1,198,140
8,0,2,1,0,80
12,0,1,1,5,80
6,1,1,5,50,90
19,1,1,1,0,140
8,1,5,1,4,175
12,0,4,1,128,89
1,2,5,3,0,55
2,0,3,2,0,70
16,1,29,1,200,75
2,1,1,1,8,140
6,0,1,4,0,165
12,1,3,1,17,250
26,0,1,3,55,94
19,1,1,1,349,205
33,1,7,3,0,90
123,1,3,1,0,352
12,2,1,1,0,175
15,0,1,2,323,65
6,0,2,1,9,42
37,0,1,6,340,55
21,0,5,3,0,40
9,1,2,1,66,295
46,0,1,4,79,60
71,0,1,15,296,100
21,1,2,1,15,135
14,0,1,2,65,100
15,0,3,1,0,70
125,1,2,2,281,180
19,1,5,1,0,169
37,0,1,4,56,48
12,1,2,1,0,101
1,1,4,1,270,295
14,1,1,1,0,250
